"Round","Winner","Timestamp","Players"
"1","3453","18/01/2026, 15:27:24","3453 (Set 1), 657567 (Set 8)"
"2","657567","18/01/2026, 15:28:17","3453 (Set 1), 657567 (Set 8), 466 (Set 3)"
